year,victim.state,action.Malware,action.Hacking,action.Social,action.Physical,action.Misuse,action.Error,action.Environmental,action.Unknown,victim.industry.name,pattern,,victim.industry.name,pattern
2010,MO,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,Public ,Privilege Misuse
2014,OR,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,Healthcare ,Lost and Stolen Assets
2014,NJ,0,0,0,0,0,1,0,0,Healthcare ,Lost and Stolen Assets,,Information ,Web Applications
2012,NA,0,1,0,0,0,0,0,0,Information ,Web Applications,,Utilities ,Miscellaneous Errors
2014,PA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,Other Services ,Cyber-Espionage
2014,PA,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,Finance ,Everything Else
2013,NA,0,1,0,0,0,0,0,0,Utilities ,Web Applications,,Manufacturing ,Denial of Service
2011,CA,0,0,0,1,0,0,0,0,Other Services ,Lost and Stolen Assets,,Educational ,Payment Card Skimmers
2012,NH,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,Professional ,Crimeware
2012,NA,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,Accomodation ,Point of Sale
2014,TX,0,0,0,0,0,1,0,0,Finance ,Lost and Stolen Assets,,Retail ,
2010,RI,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,Administrative ,
2010,FL,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,Unknown,
2014,PA,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,Transportation ,
2012,NA,0,1,0,0,0,0,0,0,Healthcare ,Web Applications,,Trade ,
2012,MS,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,Real Estate ,
2011,NM,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,Management ,
2013,WI,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,Construction ,
2012,PA,0,1,0,0,0,0,0,0,Manufacturing ,Web Applications,,Mining ,
2011,NA,0,0,0,0,0,1,0,0,Finance ,Miscellaneous Errors,,Entertainment ,
2012,MI,0,0,0,0,0,1,0,0,Public ,Miscellaneous Errors,,Agriculture ,
2010,AZ,0,0,0,0,1,0,0,0,Public ,Privilege Misuse,,,
2010,NY,0,0,0,1,0,0,0,0,Healthcare ,Lost and Stolen Assets,,,
2009,VA,1,1,1,0,0,0,0,0,Manufacturing ,Cyber-Espionage,,,
2012,PA,0,1,0,0,0,0,0,0,Educational ,Everything Else,,,
2015,NA,0,1,0,0,0,0,0,0,Public ,Web Applications,,,
